p01_1-domain-incomplete.pddl_18 8589934592 RG amir 1 8 0 0.536 536870912 pode1 1 8 0 0.058 536870912 jdd ? ? ? ? ? CL amir 1 8 0 0.038 536870912 pode1 1 8 0 0.55 536870912 jdd ? ? ? ? ? 
p01_1-domain-incomplete.pddl_138 8589934592 RG amir 1 8 0 0.037 536870912 pode1 1 8 0 0.052 536870912 jdd 1 8 0 0.025 536870912 CL amir 1 8 0 0.036 536870912 pode1 1 8 0 0.047 536870912 jdd 1 8 0 0.025 536870912 
p01_1-domain-incomplete.pddl_161 8589934592 RG amir 1 8 0 0.035 536870912 pode1 1 8 0 0.05 536870912 jdd 1 8 0 0.026 536870912 CL amir 1 8 0 0.546 536870912 pode1 1 8 0 0.05 536870912 jdd 1 8 0 0.026 536870912 
p01_1-domain-incomplete.pddl_164 8589934592 RG amir 1 8 0 0.035 536870912 pode1 1 8 0 0.047 536870912 jdd ? ? ? ? ? CL amir 1 8 0 0.035 536870912 pode1 1 8 0 0.057 536870912 jdd ? ? ? ? ? 
p01_1-domain-incomplete.pddl_169 8589934592 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 536870912 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.53 536870912 
p01_1-domain-incomplete.pddl_170 8589934592 RG amir 1 8 0 0.033 536870912 pode1 1 8 0 0.047 536870912 jdd 1 8 0 0.025 536870912 CL amir 1 8 0 0.048 536870912 pode1 1 8 0 0.049 536870912 jdd 1 8 0 0.527 536870912 
p01_1-domain-incomplete.pddl_179 8589934592 RG amir 1 8 0 0.535 536870912 pode1 1 8 0 0.547 536870912 jdd ? ? ? ? ? CL amir 1 8 0 0.036 536870912 pode1 1 8 0 0.05 536870912 jdd ? ? ? ? ? 
p01_1-domain-incomplete.pddl_184 8589934592 RG amir 1 8 0 0.043 536870912 pode1 1 8 0 0.051 536870912 jdd 1 8 0 0.025 536870912 CL amir 1 8 0 0.037 536870912 pode1 1 8 0 0.548 536870912 jdd 1 8 0 0.026 536870912 
p01_1-domain-incomplete.pddl_189 8589934592 RG amir 1 8 0 0.059 536870912 pode1 1 8 0 0.559 536870912 jdd ? ? ? ? ? CL amir 1 8 0 0.035 536870912 pode1 1 8 0 0.053 536870912 jdd ? ? ? ? ? 
p01_1-domain-incomplete.pddl_191 8589934592 RG amir 1 8 0 0.035 536870912 pode1 1 8 0 0.049 536870912 jdd 1 8 0 0.025 536870912 CL amir 1 8 0 0.034 536870912 pode1 1 8 0 0.56 536870912 jdd 1 8 0 0.527 536870912 
p01_2-domain-incomplete.pddl_16 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.531 137438953472 
p01_2-domain-incomplete.pddl_18 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.028 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.049 137438953472 
p01_2-domain-incomplete.pddl_111 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.027 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.027 137438953472 
p01_2-domain-incomplete.pddl_128 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 
p01_2-domain-incomplete.pddl_133 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.052 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 
p01_2-domain-incomplete.pddl_137 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.048 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 
p01_2-domain-incomplete.pddl_143 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.028 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 137438953472 
p01_2-domain-incomplete.pddl_156 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.025 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.528 137438953472 
p01_2-domain-incomplete.pddl_161 1099511627776 RG amir 1 8 0 0.035 34359738368 pode1 1 8 0 0.059 34359738368 jdd 1 8 0 0.025 137438953472 CL amir 1 8 0 0.544 34359738368 pode1 1 8 0 0.044 34359738368 jdd 1 8 0 0.526 137438953472 
p01_2-domain-incomplete.pddl_165 1099511627776 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.023 137438953472 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.042 137438953472 
p01_3-domain-incomplete.pddl_0 4398046511104 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.07 549755813888 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.563 549755813888 
p01_3-domain-incomplete.pddl_1 4398046511104 RG amir 1 8 0 0.078 549755813888 pode1 1 8 0 0.082 549755813888 jdd 1 8 0 0.539 549755813888 CL amir 1 8 0 0.547 549755813888 pode1 1 8 0 0.568 549755813888 jdd 1 8 0 0.046 549755813888 
p01_3-domain-incomplete.pddl_9 4398046511104 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.026 549755813888 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.03 549755813888 
p01_3-domain-incomplete.pddl_11 4398046511104 RG amir 1 8 0 0.035 549755813888 pode1 1 8 0 0.55 549755813888 jdd ? ? ? ? ? CL amir 1 8 0 0.038 549755813888 pode1 1 8 0 0.056 549755813888 jdd ? ? ? ? ? 
p01_3-domain-incomplete.pddl_14 4398046511104 RG amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.028 549755813888 CL amir ? ? ? ? ? pode1 ? ? ? ? ? jdd 1 8 0 0.029 549755813888 
