bridges_v1_2_0.5_1.pddl_10 16 RG amir 2 9 1 0.517 4 pode1 2 9 1 0.523 4 jdd 2 9 1 0.523 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.5_1.pddl_11 16 RG amir 2 9 1 1.039 4 pode1 2 9 1 0.018 4 jdd 2 9 1 0.519 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.5_1.pddl_12 16 RG amir 2 9 1 0.512 4 pode1 2 9 1 0.52 4 jdd 2 9 1 1.021 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.5_1.pddl_13 16 RG amir 2 9 1 0.513 4 pode1 2 9 1 1.024 4 jdd 2 9 1 0.518 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.5_1.pddl_15 16 RG amir 2 9 1 0.0090 4 pode1 2 9 1 0.52 4 jdd 2 9 1 0.026 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.5_1.pddl_18 16 RG amir 2 9 1 0.011 4 pode1 2 9 1 0.517 4 jdd 2 9 1 0.019 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_1 64 RG amir 3 10 2 1.047 2 pode1 3 10 2 1.573 2 jdd 3 10 2 1.555 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_10 64 RG amir 3 10 2 0.526 2 pode1 3 10 2 1.548 2 jdd 3 10 2 0.117 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_11 64 RG amir 2 9 1 0.52 4 pode1 2 9 1 0.529 4 jdd 2 9 1 0.025 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_12 64 RG amir 2 9 1 0.516 4 pode1 2 9 1 0.547 4 jdd 2 9 1 0.531 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_13 64 RG amir 2 9 1 0.516 4 pode1 2 9 1 0.022 4 jdd 2 9 1 0.53 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_18 64 RG amir 3 10 2 0.515 2 pode1 3 10 2 0.526 2 jdd 3 10 2 1.527 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_20 64 RG amir 2 9 1 0.511 4 pode1 2 9 1 0.521 4 jdd 2 9 1 1.018 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_30 64 RG amir 2 9 1 0.511 4 pode1 2 9 1 1.021 4 jdd 2 9 1 0.516 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_0.75_1.pddl_35 64 RG amir 2 9 1 1.012 4 pode1 2 9 1 1.021 4 jdd 2 9 1 1.018 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
