domain_p01_0.0_1.pddl_0 1 RG amir 1 8 0 0.592 1 pode1 1 6 0 0.546 1 jdd 1 6 0 0.534 1 CL amir 1 8 0 0.067 1 pode1 1 6 0 0.534 1 jdd 1 6 0 0.055 1 
domain_p01_0.0_1.pddl_1 1 RG amir 1 8 0 0.042 1 pode1 1 6 0 0.523 1 jdd 1 6 0 0.524 1 CL amir 1 8 0 0.545 1 pode1 1 6 0 0.583 1 jdd 1 6 0 0.039 1 
domain_p01_0.0_1.pddl_2 1 RG amir 1 8 0 0.034 1 pode1 1 6 0 0.017 1 jdd 1 6 0 0.015 1 CL amir 1 8 0 0.033 1 pode1 1 6 0 0.522 1 jdd 1 6 0 0.016 1 
domain_p01_0.0_1.pddl_3 1 RG amir 1 8 0 0.032 1 pode1 1 6 0 0.016 1 jdd 1 6 0 0.016 1 CL amir 1 8 0 0.071 1 pode1 1 6 0 0.515 1 jdd 1 6 0 0.515 1 
domain_p01_0.0_1.pddl_4 1 RG amir 1 8 0 0.527 1 pode1 1 6 0 0.513 1 jdd 1 6 0 0.011 1 CL amir 1 8 0 0.029 1 pode1 1 6 0 0.014 1 jdd 1 6 0 0.015 1 
domain_p01_0.0_1.pddl_5 1 RG amir 1 8 0 0.041 1 pode1 1 6 0 0.522 1 jdd 1 6 0 0.022 1 CL amir 1 8 0 0.048 1 pode1 1 6 0 0.52 1 jdd 1 6 0 0.513 1 
domain_p01_0.0_1.pddl_6 1 RG amir 1 8 0 0.022 1 pode1 1 6 0 0.542 1 jdd 1 6 0 0.518 1 CL amir 1 8 0 0.038 1 pode1 1 6 0 0.514 1 jdd 1 6 0 0.514 1 
domain_p01_0.0_1.pddl_7 1 RG amir 1 8 0 0.533 1 pode1 1 6 0 0.512 1 jdd 1 6 0 0.512 1 CL amir 1 8 0 0.022 1 pode1 1 6 0 0.011 1 jdd 1 6 0 0.011 1 
domain_p01_0.0_1.pddl_8 1 RG amir 1 8 0 0.525 1 pode1 1 6 0 0.511 1 jdd 1 6 0 0.511 1 CL amir 1 8 0 0.023 1 pode1 1 6 0 0.01 1 jdd 1 6 0 0.013 1 
domain_p01_0.0_1.pddl_9 1 RG amir 1 8 0 0.022 1 pode1 1 6 0 0.01 1 jdd 1 6 0 0.0090 1 CL amir 1 8 0 0.524 1 pode1 1 6 0 0.011 1 jdd 1 6 0 0.0090 1 
domain_p01_0.0_2.pddl_0 1 RG amir 1 8 0 0.625 1 pode1 1 6 0 0.058 1 jdd 1 6 0 0.035 1 CL amir 1 8 0 0.089 1 pode1 1 6 0 0.033 1 jdd 1 6 0 0.033 1 
domain_p01_0.0_2.pddl_1 1 RG amir 1 8 0 0.567 1 pode1 1 6 0 0.025 1 jdd 1 6 0 0.022 1 CL amir 1 8 0 0.547 1 pode1 1 6 0 0.027 1 jdd 1 6 0 0.018 1 
domain_p01_0.0_2.pddl_2 1 RG amir 1 8 0 0.032 1 pode1 1 6 0 0.015 1 jdd 1 6 0 0.015 1 CL amir 1 8 0 0.033 1 pode1 1 6 0 0.017 1 jdd 1 6 0 0.519 1 
domain_p01_0.0_2.pddl_3 1 RG amir 1 8 0 0.036 1 pode1 1 6 0 0.517 1 jdd 1 6 0 0.023 1 CL amir 1 8 0 0.536 1 pode1 1 6 0 0.529 1 jdd 1 6 0 0.011 1 
domain_p01_0.0_2.pddl_4 1 RG amir 1 8 0 0.026 1 pode1 1 6 0 0.012 1 jdd 1 6 0 0.011 1 CL amir 1 8 0 0.033 1 pode1 1 6 0 0.015 1 jdd 1 6 0 0.014 1 
